DATE,valor,name
2013-03-11,297.44451612903225,_03.01.001
2013-03-12,297.4709677419355,_03.01.001
2013-03-13,297.4974193548387,_03.01.001
2013-03-14,297.5238709677419,_03.01.001
2013-03-15,297.5503225806452,_03.01.001
2013-03-16,297.5767741935484,_03.01.001
2013-03-17,297.60322580645163,_03.01.001
2013-03-18,297.62967741935483,_03.01.001
2013-03-19,297.6561290322581,_03.01.001
2013-03-20,297.6825806451613,_03.01.001
2013-03-21,297.7090322580645,_03.01.001
2013-03-22,297.73548387096776,_03.01.001
2013-03-23,297.76193548387096,_03.01.001
2013-03-24,297.7883870967742,_03.01.001
2013-03-25,297.8148387096774,_03.01.001
2013-03-26,297.8412903225806,_03.01.001
2013-03-27,297.8677419354839,_03.01.001
2013-03-28,297.8941935483871,_03.01.001
2013-03-29,297.92064516129034,_03.01.001
2013-03-30,297.94709677419354,_03.01.001
2013-03-31,297.9735483870968,_03.01.001
2013-04-01,298,_03.01.001
2013-04-02,297.995,_03.01.001
2013-04-03,297.99,_03.01.001
2013-04-04,297.985,_03.01.001
2013-04-05,297.98,_03.01.001
2013-04-06,297.975,_03.01.001
2013-04-07,297.97,_03.01.001
2013-04-08,297.96500000000003,_03.01.001
2013-04-09,297.96,_03.01.001
2013-04-10,297.955,_03.01.001
2013-04-11,297.95,_03.01.001
2013-04-12,297.945,_03.01.001
2013-04-13,297.94,_03.01.001
2013-04-14,297.935,_03.01.001
2013-04-15,297.93,_03.01.001
2013-04-16,297.925,_03.01.001
2013-04-17,297.92,_03.01.001
2013-04-18,297.915,_03.01.001
2013-04-19,297.91,_03.01.001
2013-04-20,297.90500000000003,_03.01.001
2013-04-21,297.90000000000003,_03.01.001
2013-04-22,297.89500000000004,_03.01.001
2013-04-23,297.89000000000004,_03.01.001
2013-04-24,297.885,_03.01.001
2013-04-25,297.88,_03.01.001
2013-04-26,297.875,_03.01.001
2013-04-27,297.87,_03.01.001
2013-04-28,297.865,_03.01.001
2013-04-29,297.86,_03.01.001
2013-04-30,297.855,_03.01.001
2013-05-01,297.85,_03.01.001
2013-05-02,297.85322580645163,_03.01.001
2013-05-03,297.85645161290324,_03.01.001
2013-05-04,297.85967741935485,_03.01.001
2013-05-05,297.86290322580646,_03.01.001
2013-05-06,297.8661290322581,_03.01.001
2013-05-07,297.8693548387097,_03.01.001
2013-05-08,297.8725806451613,_03.01.001
2013-05-09,297.8758064516129,_03.01.001
2013-05-10,297.8790322580645,_03.01.001
2013-05-11,297.8822580645161,_03.01.001
2013-05-12,297.88548387096773,_03.01.001
2013-05-13,297.88870967741934,_03.01.001
2013-05-14,297.89193548387095,_03.01.001
2013-05-15,297.89516129032256,_03.01.001
2013-05-16,297.8983870967742,_03.01.001
2013-05-17,297.90161290322584,_03.01.001
2013-05-18,297.90483870967745,_03.01.001
2013-05-19,297.90806451612906,_03.01.001
2013-05-20,297.91129032258067,_03.01.001
2013-05-21,297.9145161290323,_03.01.001
2013-05-22,297.9177419354839,_03.01.001
2013-05-23,297.9209677419355,_03.01.001
2013-05-24,297.9241935483871,_03.01.001
2013-05-25,297.9274193548387,_03.01.001
2013-05-26,297.93064516129033,_03.01.001
2013-05-27,297.93387096774194,_03.01.001
2013-05-28,297.93709677419355,_03.01.001
2013-05-29,297.94032258064516,_03.01.001
2013-05-30,297.94354838709677,_03.01.001
2013-05-31,297.9467741935484,_03.01.001
2013-06-01,297.95,_03.01.001
2013-06-02,297.98614379084967,_03.01.001
2013-06-03,298.02228758169935,_03.01.001
2013-06-04,298.058431372549,_03.01.001
2013-06-05,298.0945751633987,_03.01.001
2013-06-06,298.1307189542484,_03.01.001
2013-06-07,298.166862745098,_03.01.001
2013-06-08,298.2030065359477,_03.01.001
2013-06-09,298.23915032679736,_03.01.001
2013-06-10,298.27529411764704,_03.01.001
2013-06-11,298.3114379084967,_03.01.001
2013-06-12,298.3475816993464,_03.01.001
2013-06-13,298.38372549019607,_03.01.001
2013-06-14,298.41986928104575,_03.01.001
2013-06-15,298.4560130718954,_03.01.001
2013-06-16,298.4921568627451,_03.01.001
2013-06-17,298.5283006535948,_03.01.001
2013-06-18,298.56444444444446,_03.01.001
2013-06-19,298.6005882352941,_03.01.001
2013-06-20,298.63673202614376,_03.01.001
2013-06-21,298.67287581699344,_03.01.001
2013-06-22,298.7090196078431,_03.01.001
2013-06-23,298.7451633986928,_03.01.001
2013-06-24,298.7813071895425,_03.01.001
2013-06-25,298.81745098039215,_03.01.001
2013-06-26,298.85359477124183,_03.01.001
2013-06-27,298.8897385620915,_03.01.001
2013-06-28,298.9258823529412,_03.01.001
2013-06-29,298.96202614379087,_03.01.001
2013-06-30,298.99816993464054,_03.01.001
2013-07-01,299.03431372549016,_03.01.001
2013-07-02,299.07045751633984,_03.01.001
2013-07-03,299.1066013071895,_03.01.001
2013-07-04,299.1427450980392,_03.01.001
2013-07-05,299.1788888888889,_03.01.001
2013-07-06,299.21503267973856,_03.01.001
2013-07-07,299.25117647058823,_03.01.001
2013-07-08,299.2873202614379,_03.01.001
2013-07-09,299.3234640522876,_03.01.001
2013-07-10,299.35960784313727,_03.01.001
2013-07-11,299.39575163398695,_03.01.001
2013-07-12,299.4318954248366,_03.01.001
