date,obs_flow,name
2012-07-15,1.12,1 Peralejos
2012-07-16,1.12,1 Peralejos
2012-07-17,1.12,1 Peralejos
2012-07-18,1.12,1 Peralejos
2012-07-19,1.12,1 Peralejos
2012-07-20,1.12,1 Peralejos
2012-07-21,1.12,1 Peralejos
2012-07-22,1.12,1 Peralejos
2012-07-23,1.035,1 Peralejos
2012-07-24,1.035,1 Peralejos
2012-07-25,1.035,1 Peralejos
2012-07-26,1.035,1 Peralejos
2012-07-27,1.035,1 Peralejos
2012-07-28,1.12,1 Peralejos
2012-07-29,1.035,1 Peralejos
2012-07-30,1.035,1 Peralejos
2012-07-31,0.95,1 Peralejos
2012-08-01,0.95,1 Peralejos
2012-08-02,0.95,1 Peralejos
2012-08-03,0.95,1 Peralejos
2012-08-04,0.95,1 Peralejos
2012-08-05,0.95,1 Peralejos
2012-08-06,0.95,1 Peralejos
2012-08-07,0.95,1 Peralejos
2012-08-08,0.865,1 Peralejos
2012-08-09,0.865,1 Peralejos
2012-08-10,0.865,1 Peralejos
2012-08-11,0.865,1 Peralejos
2012-08-12,0.769,1 Peralejos
2012-08-13,0.817,1 Peralejos
2012-08-14,0.865,1 Peralejos
2012-08-15,0.865,1 Peralejos
2012-08-16,0.865,1 Peralejos
2012-08-17,0.865,1 Peralejos
2012-08-18,0.817,1 Peralejos
2012-08-19,0.817,1 Peralejos
2012-08-20,0.817,1 Peralejos
2012-08-21,0.817,1 Peralejos
2012-08-22,0.817,1 Peralejos
2012-08-23,0.817,1 Peralejos
2012-08-24,0.865,1 Peralejos
2012-08-25,0.817,1 Peralejos
2012-08-26,0.817,1 Peralejos
2012-08-27,0.817,1 Peralejos
2012-08-28,0.817,1 Peralejos
2012-08-29,0.817,1 Peralejos
2012-08-30,0.817,1 Peralejos
2012-08-31,0.95,1 Peralejos
2012-09-01,0.769,1 Peralejos
2012-09-02,0.769,1 Peralejos
2012-09-03,0.769,1 Peralejos
2012-09-04,0.769,1 Peralejos
2012-09-05,0.769,1 Peralejos
2012-09-06,0.769,1 Peralejos
2012-09-07,0.769,1 Peralejos
2012-09-08,0.769,1 Peralejos
2012-09-09,0.817,1 Peralejos
2012-09-10,0.769,1 Peralejos
2012-09-11,0.769,1 Peralejos
2012-09-12,0.769,1 Peralejos
2012-09-13,0.769,1 Peralejos
2012-09-14,0.721,1 Peralejos
2012-09-15,0.721,1 Peralejos
2012-09-16,0.721,1 Peralejos
2012-09-17,0.721,1 Peralejos
2012-09-18,0.721,1 Peralejos
2012-09-19,0.721,1 Peralejos
2012-09-20,0.721,1 Peralejos
2012-09-21,0.721,1 Peralejos
2012-09-22,0.721,1 Peralejos
2012-09-23,0.721,1 Peralejos
2012-09-24,0.721,1 Peralejos
2012-09-25,0.721,1 Peralejos
2012-09-26,0.865,1 Peralejos
2012-09-27,0.769,1 Peralejos
2012-09-28,0.769,1 Peralejos
2012-09-29,0.817,1 Peralejos
2012-09-30,0.769,1 Peralejos
2012-10-01,0.811,1 Peralejos
2012-10-02,0.811,1 Peralejos
2012-10-03,0.811,1 Peralejos
2012-10-04,0.811,1 Peralejos
2012-10-05,0.811,1 Peralejos
2012-10-06,0.811,1 Peralejos
2012-10-07,0.811,1 Peralejos
2012-10-08,0.762,1 Peralejos
2012-10-09,0.762,1 Peralejos
2012-10-10,0.762,1 Peralejos
2012-10-11,0.811,1 Peralejos
