name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa2338,2.086,8.92653e-16,2.086,2.086,2.086,2.086,1.07672,0.217724,0.5962,1.716,0.858997,1.29445,0.37
qa2339,1.962,1.11582e-15,1.962,1.962,1.962,1.962,1.03336,0.208781,0.5585,1.625,0.82458,1.24214,0.337
qa2340,1.962,1.11582e-15,1.962,1.962,1.962,1.962,0.991192,0.202787,0.5285,1.567,0.788405,1.19398,0.395
qa2341,1.962,1.11582e-15,1.962,1.962,1.962,1.962,0.95697,0.198043,0.5142,1.542,0.758927,1.15501,0.42
qa2342,1.839,6.6949e-16,1.839,1.839,1.839,1.839,0.917248,0.192359,0.4969,1.47,0.724889,1.10961,0.369
qa2343,1.839,6.6949e-16,1.839,1.839,1.839,1.839,0.881535,0.187032,0.4609,1.422,0.694503,1.06857,0.417
qa2344,1.839,6.6949e-16,1.839,1.839,1.839,1.839,0.853075,0.182519,0.4549,1.423,0.670556,1.03559,0.416
qa2345,1.839,6.6949e-16,1.839,1.839,1.839,1.839,0.824296,0.176302,0.4491,1.349,0.647994,1.0006,0.49
qa2346,1.962,1.11582e-15,1.962,1.962,1.962,1.962,0.79513,0.174404,0.4,1.293,0.620726,0.969534,0.669
qa2347,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.769304,0.168297,0.405,1.281,0.601007,0.937601,0.435
qa2348,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.745076,0.165097,0.3943,1.239,0.579979,0.910173,0.477
qa2349,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.720409,0.160766,0.3853,1.185,0.559643,0.881175,0.531
qa2350,1.631,0,1.631,1.631,1.631,1.631,0.695441,0.156047,0.3544,1.162,0.539394,0.851488,0.469
qa2351,1.631,0,1.631,1.631,1.631,1.631,0.673918,0.152307,0.3518,1.147,0.521611,0.826225,0.484
qa2352,1.631,0,1.631,1.631,1.631,1.631,0.651324,0.148015,0.3455,1.093,0.503309,0.799339,0.538
qa2353,1.631,0,1.631,1.631,1.631,1.631,0.630285,0.145111,0.3268,1.084,0.485174,0.775396,0.547
