iteration,total_runs,obs_realization,par_realization,streamflowa,streamflowb,streamflowc,streamflowd,streamflowe,gwhead
3,640,33,33,54897,20492.1,20639.4,9142.35,9002,27648
3,640,34,34,70793.9,11511.8,12562.6,7471.34,6919.56,8440.45
3,640,35,35,53881.6,17958.6,17777.6,10352.9,11275.7,7587.57
3,640,36,36,56952.2,18921.1,18140.3,13557.6,8180.4,4853.58
3,640,37,37,58863.5,21003.8,20068.9,11030.6,6358.11,5156.13
3,640,38,38,63034.8,16181.7,16072.4,9903.29,4420.91,7710.07
3,640,39,39,62215.8,13192.8,11696.8,7836.64,7357.98,9210.41
3,640,40,40,58176.7,16230.5,15064.1,8204.76,7809.82,8596.44
3,640,41,41,49497.6,37725.7,37478.4,19450.4,16556.1,4836.52
3,640,42,42,62569.4,13883,13055.7,7752.54,4850.99,12153.8
3,640,43,43,52594,27973.2,28274.1,16548.1,7842.15,6972.53
3,640,44,44,50160.4,29897.4,32514.9,20052.9,9503.93,6815.82
3,640,45,45,54492.3,61516.4,60363.6,40178.4,75102.2,6642.64
3,640,46,46,60415.8,16091.6,15936.4,8448.61,8245.82,6472.73
3,640,47,47,50518.6,28464.8,28115.1,15244.5,7244.51,4175.37
3,640,48,48,62665.7,24833.1,31703.4,21870.9,7192.59,6683.41
3,640,49,49,55497.6,15920.2,14130.8,9645.22,7352.95,11945.2
3,640,50,50,63838.8,12174.9,11700.8,7365.51,7450.64,10654.9
3,640,51,51,58821.8,15984.8,14544.4,11333.6,12663,10743.2
3,640,52,52,52751.9,30517.3,33396,22781.5,6870.41,8579.92
3,640,53,53,54501.8,19473.1,17273.4,12386.1,8882.74,6659.4
3,640,54,54,57236.2,25297.5,23472.3,11959.4,11208.1,5386.58
3,640,55,55,58748,17456.1,17303.5,9521.36,8208.47,12252.1
3,640,56,56,62171.4,12622.5,12300.7,7896.25,10278.6,12889.2
3,640,57,57,60215.8,15190.7,14184.6,9339.23,9844.11,10216.4
3,640,58,58,51073.7,36527.6,37100.3,16331.2,9310.18,4711.12
3,640,59,59,59163.4,15049.5,14871.9,8879.39,12105.7,14878.1
3,640,60,60,60237.9,29803.4,34479.3,22315.4,8987.04,7388.62
3,640,61,61,73699.2,11983.7,9755.69,7311.51,5356.31,8540.13
3,640,62,62,58830.9,14593.1,12252.4,9500.61,8248.88,8923.74
3,640,63,63,59966.6,12077,13925.1,6994.62,10211.7,19068.5
3,640,64,64,53384,39132.4,39914.9,21289.6,15119.9,10470.2
3,640,65,65,60546,17959.1,16754.4,9935.92,6188.15,6855.25
3,640,66,66,57881.4,14409.3,14749.4,8823.63,10258.4,10129
3,640,67,67,62014.8,12956.1,12628.7,8823.32,9057.7,11599.4
3,640,68,68,52931.7,14912.1,14111.1,8131.33,7547.92,12232.9
3,640,69,69,63651.6,13002,12073.7,8186.64,6334.12,8838.66
3,640,70,70,55296.6,43453.1,45274.4,29329.1,46990.4,5342.44
3,640,71,71,62751.4,13137,12600.8,8216.28,7627.07,7128.51
3,640,72,72,59849.1,14238.4,15439.1,9586.03,13118.9,12239.4
3,640,73,73,59702.4,16352.7,14348.2,6957.99,8966.83,10013.3
3,640,74,74,64428.5,14607.4,13262.4,11001.9,8131.36,6933.36
