name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qh2089,2.703,1.33898e-15,2.703,2.703,2.703,2.703,0.537474,0.353862,0.0075,1.718,0.183612,0.891336,0.985
qh2090,2.02,1.33898e-15,2.02,2.02,2.02,2.02,0.534878,0.352616,0.0075,1.704,0.182262,0.887494,0.316
qh2091,2.02,1.33898e-15,2.02,2.02,2.02,2.02,0.530569,0.35117,0.0074,1.71,0.179399,0.881739,0.31
qh2092,2.02,1.33898e-15,2.02,2.02,2.02,2.02,0.528623,0.347697,0.0076,1.698,0.180926,0.87632,0.322
qh2093,2.02,1.33898e-15,2.02,2.02,2.02,2.02,0.52481,0.347907,0.0073,1.687,0.176903,0.872717,0.333
qh2094,2.02,1.33898e-15,2.02,2.02,2.02,2.02,0.523391,0.347177,0.0073,1.698,0.176214,0.870568,0.322
qh2095,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.520043,0.345565,0.0072,1.681,0.174478,0.865608,0.111
qh2096,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.517472,0.343801,0.0072,1.671,0.173671,0.861273,0.121
qh2097,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.51628,0.343931,0.0071,1.676,0.172349,0.860211,0.116
qh2098,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.514059,0.34182,0.0071,1.666,0.172239,0.855879,0.126
qh2099,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.510451,0.340177,0.007,1.665,0.170274,0.850628,0.127
qh2100,1.881,0,1.881,1.881,1.881,1.881,0.508814,0.339527,0.007,1.667,0.169287,0.848341,0.214
qh2101,1.881,0,1.881,1.881,1.881,1.881,0.506319,0.338541,0.0069,1.666,0.167778,0.84486,0.215
qh2102,1.881,0,1.881,1.881,1.881,1.881,0.50397,0.335947,0.0069,1.65,0.168023,0.839917,0.231
qh2103,1.881,0,1.881,1.881,1.881,1.881,0.503101,0.336561,0.0069,1.663,0.16654,0.839662,0.218
qh2104,1.743,0,1.743,1.743,1.743,1.743,0.499387,0.333527,0.0068,1.646,0.16586,0.832914,0.097
qh2105,1.743,0,1.743,1.743,1.743,1.743,0.496618,0.331767,0.0068,1.633,0.164851,0.828385,0.11
qh2106,1.743,0,1.743,1.743,1.743,1.743,0.496481,0.331252,0.0067,1.634,0.165229,0.827733,0.109
qh2107,1.743,0,1.743,1.743,1.743,1.743,0.494817,0.332022,0.0067,1.653,0.162795,0.826839,0.09
qh2108,1.743,0,1.743,1.743,1.743,1.743,0.491989,0.330311,0.0067,1.635,0.161678,0.8223,0.108
qh2109,1.743,0,1.743,1.743,1.743,1.743,0.489506,0.328676,0.0067,1.63,0.16083,0.818182,0.113
qh2110,1.881,0,1.881,1.881,1.881,1.881,0.48736,0.327964,0.0066,1.635,0.159396,0.815324,0.246
qh2111,1.743,0,1.743,1.743,1.743,1.743,0.485351,0.326814,0.0066,1.613,0.158537,0.812165,0.13
